Team ID,Team Name,Deck 1,Deck 2,Deck 3,Deck 4
34093846,Daemen Esports,,,,
34094031,Drury Esports,AAECAR8engGoArUDxwOHBK8ErgaAB5cIxQjbCf4MmPAC7/ECgPMCoIADp4IDm4UDoIUD9YkD5pYD+ZYDvpgDtpwD/KMD5aQDn6UDoqUDpqUDn7cDAAA=,AAECAf0GAuO0A/G/Aw4w0wGxCMII3IYDxIkDiJ0D/acD6KwD6qwD+a4D/q4Dqq8D068DAA==,AAECAQcGkAOvBKCAA/WoA+O0A8XAAwwW1AT7DJ3wApvzArP8AtypA9itA9qtA/6uA6qvA9KvAwA=,AAECAaoIBO/3ArmZA9WlA+GoAw2cAt4F7/ECi4UDq4wDtJEDtJcDxpkDpaEDu6UDz6UD1KUD+aUDAA==
34094055,SLU Varsity,AAECAQcGkAOvBOO0A6u2A5+3A8XAAwwW1AT7DJ3wArP8AtypA9itA9qtA/6uA6qvA9KvA6S2AwA=,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAc2xAh6KAckDqwTFBMsE4QeNCL7sAs7vAu72Asb4AqCAA+iJA4OWA5+bA6CbA4qeA6GhA/yjA4ukA5KkA/KlA4SnA/qsA/CvA5GxA4S2A4y2A+G2A5+3AwAA,AAECAYO6AgayAq8EkpcDwa4D47QDy8ADDLQB7QLNA4gHj5cD9acDua4D/q4Dqq8Dzq8DgrEDm7YDAA==
34094379,St. Clair Saints Varsity,AAECAR8EhwSvBIewA+ewAw3HA+EElwiKrQOLrQP5rgP7rwP8rwP+rwP/sAOHsQO6tgOvtwMA,AAECAaPLAwLjtAPFwAMOFhyQA9QE+wyd8ALcqQPYrQParQP+rgOqrwPSrwOktgOrtgMA,AAECAZ/HAgqlCdMKoIADjYIDk5sDmJsD0aUD8qUD47QDyMADCpeHA4KUA5mbA6GhA6+lA5mpA5+pA9msA/KsA/2wAwA=,AAECAbSKAwgk/gGu0gK/8gL1/ALF/QL4oQP2rQMLQFZf9wPEBqmiA6+iA8iiA++iA9mpA/m1AwA=
34098668,RIT Esports,AAECAaPDAwrFBJz4AqCAA/yjA9OvA/2wA5GxA+O0A5+3A/G/AwqjAcQInakD5awD6KwD6qwD66wD7KwD/q4Dqq8DAA==,AAECAZvDAwqyAq8EoIADkpcDwa4DgrED47QDw7YDn7cDy8ADCrQB7QLNA4gHj5cD9acDua4D/q4Dqq8Dzq8DAA==,AAECAZfDAwSvBPSnA+O0A8XAAw0WkAPUBPsMnfAC3KkD2K0D2q0D/q4Dqq8D0q8DpLYDq7YDAA==,AAECAaXDAx6KAckDqwTFBMsE4QfsB40IvuwCzu8C7vYCxvgCoIAD6IkDg5YDn5sDoJsDip4D/KMDi6QDkqQD8qUDhKcD+qwD8K8DkbEDhLYDjLYD4bYDn7cDAAA=
34099623,Shawnee State,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAaIHBrICrwSSlwPBrgPjtAPLwAMMtAHtAs0DiAfdCI+XA/WnA7muA/6uA6qvA86vA4KxAwA=,AAECAZICAv0C960DDkDtA+YF3/sCv/0C1YMDw5QDzpQD05wD7aID76ID/K0D/q0D/60DAA==,AAECAf0GAvb9AvG/Aw4wsQjCCNyGA4idA/2nA+isA+qsA/muA/6uA6qvA9OvA7C2A7q2AwA=
34102194,Coker Cobras Varsity,AAECAf0GAuO0A/G/Aw4w0wGxCMII3IYDxIkDiJ0D/acD6KwD6qwD+a4D/q4D068DgrEDAA==,AAECAR8eqAK1A8cDrwTJBOEElwjFCNsJmPAC7/ECoIADoIUDtpwD/KMD5KQDpqUDhKcDi60Djq0D+a4D+68D/K8D/q8Dh7AD57ADgrEDkbED2LIDn7cDAAA=,AAECAZ/HAgjWCqCAA42CA9aZA5ObA5ibA9msA8jAAwuXhwOClAOZmwOhoQOvpQPRpQOZqQOfqQPyrAPNrwP9sAMA,AAECAYsWBK8E3QqggAOftwMNzwavB5j7Avb9Atb+Atf+Atn+AuH+AsyBA8WhA4euA+qwA+ywAwA=
34102542,Thunder Trine,AAECAYsWBK8E3QqggAOftwMNzwavB5j7Avb9Atb+Atf+Atn+AuH+AsyBA8WhA4euA+qwA+ywAwA=,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAYO6AgqyAq8E3QiggAOSlwPBrgOCsQPjtAOftwPLwAMKtAHtAs0DiAePlwP1pwO5rgP+rgOqrwPOrwMA,AAECAcn1AgLjtAPxvwMOMNMBsQjCCNyGA8SJA4idA/2nA+isA+qsA/muA/6uA9OvA4KxAwA=
34120852,KSU Salem Varsity,AAECAR8ExwOvBJcIh7ADDYcE4QSKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAYsWBK8E3QqggAOftwMNzwavB5j7Avb9Atb+Atf+Atn+AuH+AsyBA8WhA4euA+qwA+ywAwA=,AAECAZ/HAgiggAONggPWmQOTmwPRpQOfqQP9sAPIwAML1gqXhwOClAOYmwOZmwOhoQOvpQOZqQPZrAPyrAPNrwMA,AAECAdfXAwL3A/etAw79Au0D5gXf+wK//QLVgwPDlAPOlAPTnAPtogPvogP8rQP+rQP/rQMA
34120856,UJ-Jimmies,AAECAR8eqAK1A8cDhwTJBOEExQiBCv4MmPACoIADp4IDm4UDoIUD+ZYDnp0D/KMD5KQD5aQDn6UDoqUDpqUDjq0D+68D/K8D/q8Dh7ADkbED2LIDr7cDAAA=,AAECAcn1Agi0A8UE7QWc+AKggAPwrAPxrAOIsAMLigHyBc4H4QeNCMQI5awD66wD7KwD7qwDh7EDAA==,AAECAZ/HAgbTCqCAA42CA9aZA5ObA92rAwzWCpeHA4KUA5ibA5mbA4OgA6GhA6+lA9GlA5mpA5+pA/KsAwA=,AAECAYO6AgiyAq8EoIADkpcDwa4D47QDn7cDy8ADC7QB7QLNA4gHj5cD9acDua4D/q4Dqq8Dzq8DgrEDAA==
34093865,Harrisburg University Storm,AAECAa/XAwKvBIewAw7HA+EElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAf0EHooByQOrBMUEywThB40IvuwCzu8C7vYCxvgCoIAD6IkDg5YDn5sDoJsDip4DoaED/KMDi6QDkqQD8qUDhKcD+qwD8K8DkbEDhLYDjLYD4bYDn7cDAAA=,AAECAaIHCrICzQOvBKCAA5KXA8GuA+O0A5u2A8O2A8vAAwq0Ae0CiAePlwP1pwO5rgP+rgOqrwPOrwOCsQMA,AAECAQcEkAOvBOO0A8XAAw0W1AT7DJ3wArP8AtypA9itA9qtA/6uA6qvA9KvA6S2A6u2AwA=
34094136,LVC_Esports,AAECAR8ExwOHBK8Eh7ADDeEElwjv8QKKrQOLrQP5rgP7rwP8rwP+rwP/sAOHsQO6tgOvtwMA,AAECAcOfAwSvBN0KoIADn7cDDc8GrweY+wL2/QLW/gLX/gLZ/gLh/gLMgQPFoQOHrgPqsAPssAMA,AAECAaPLAwLjtAPFwAMOFhyQA/sMnfAC3KkD2K0D2q0D/q4Dqq8D0q8DpLYDq7YDurYDAA==,AAECAZ/HAgjWCqCAA42CA9aZA5ObA5ibA9msA8jAAwuXhwOClAOZmwOhoQOvpQPRpQOZqQOfqQPyrAPNrwP9sAMA
34095526,Kent State Esports,AAECAf0EHooByQOrBMUEywThB+wHjQi+7ALO7wLu9gLG+AKggAPoiQODlgOfmwOgmwOKngP8owOLpAOSpAPypQOEpwP6rAPwrwORsQOEtgOMtgPhtgOftwMAAA==,AAECAYwWBK8E47QDn7cDxcADDRaQA9QE+wyd8ALcqQPYrQParQP+rgOqrwPSrwOktgOrtgMA,AAECAaIHBrICrwSSlwPBrgPjtAPLwAMMtAHtAs0DiAePlwP1pwO5rgP+rgOqrwPOrwOCsQObtgMA,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA
34096626,Northeastern,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAaToAgSvBKCAA+ywA5+3Aw3PBq8HmPsC9v0C1v4C1/4C2f4C4f4CzIEDxaEDh64D6rADjbYDAA==,AAECAYO6AgayAq8EkpcDwa4D47QDy8ADDLQB7QLNA4gH3Qjv8QKPlwP1pwO5rgP+rgOqrwPOrwMA,AAECAQcErwTjtAOftwPFwAMNFtQE+wyd8AKz/ALcqQPYrQParQP+rgOqrwPSrwOktgOrtgMA
34098214,SHU Hearthstone Hambones,AAECAaPLAwivBPIFigf7DKCAA/KoA+O0A8XAAwtLogT/B53wApvzArP8AtitA9qtA/6uA6qvA9KvAwA=,AAECAdfXAwL3A/etAw79Au0D5gXf+wK//QLVgwPDlAPOlAPTnAPtogPvogP8rQP+rQP/rQMA,AAECAaIHBLICkpcD47QDy8ADDbQBtPYC3voC7PwCj5cD9acDua4Du64Dva4Dv64D/q4Dqq8Dzq8DAA==,AAECAf0GCMUEnPgCoIAD/KMD068DkbED47QD8b8DC6MBxAidqQPlrAPorAPqrAPrrAPsrAP+rgOqrwP9sAMA
34101838,CU Boulder,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAQcGkAOvBOO0A6u2A5+3A8XAAwwW1AT7DJ3wArP8AtypA9itA9qtA/6uA6qvA9KvA6S2AwA=,AAECAafDAwbWCqCAA42CA9aZA5ObA8jAAwyXhwOClAOYmwOZmwOhoQOvpQOZqQOfqQPZrAPyrAPNrwP9sAMA,AAECAaIHCLICrwSggAOSlwPBrgPjtAOftwPLwAMLtAHtAs0DiAePlwP1pwO5rgP+rgOqrwPOrwOCsQMA
34102489,Randolph-Macon eSports,AAECAf0GCMUEnPgCoIAD/KMD068DkbED47QD8b8DC6MBxAidqQPlrAPorAPqrAPrrAPsrAP+rgOqrwP9sAMA,AAECAYO6AgayAq8EkpcDwa4D47QDy8ADDLQB7QLNA4gH3Qjv8QKPlwP1pwO5rgP+rgOqrwPOrwMA,AAECAZ8FBK8E3QqggAOftwMNzwavB5j7Avb9Atb+Atf+Atn+AuH+AsyBA8WhA4euA+qwA+ywAwA=,AAECAbSKAwSvBI3wAqCAA5+3Aw1A4QTSpQPZqQP7rQP9rQOMrgPerwPnsAP/sAOFsQOHsQP/tQMA
,Hearthstone,,,,
34104955,Florida Southern Mocs,AAECAZICAvcD960DDv0C7QPmBd/7Ar/9AtWDA8OUA86UA9OcA+2iA++iA/ytA/6tA/+tAwA=,AAECAaPLAx5LogT8BJAH/wed8AKb8wL09QKS+AKO+wKe+wKz/AKggAPsiQOSnwOfoQOloQP8owOEpwOCqAPyqAP1qAPZrQPfrQORsQP/tAOltgOrtgPHtgOftwMAAA==,AAECAR8ExwOHBK8Eh7ADDeEElwiKrQOLrQP5rgP7rwP8rwP+rwPnsAP/sAOHsQO6tgOvtwMA,AAECAZ8FBK8E3QqggAOftwMNzwavB5j7Avb9Atb+Atf+Atn+AuH+AsyBA8WhA4euA+qwA+ywAwA=
